id,name,phone,website,address,postal_code,municipality,city,Longitude,Latitude
27,Canadian Museum of Cultural Heritage of Indo-Canadian,416-798-2277,https://www.baps.org/cultureandheritage/ExperienceIndia/Exhibitions/CanadianMuseumofCulturalHeritageofIndo-Canadians.aspx,61 Claireville Dr,M9W 5Z7,Etobicoke,Toronto,-79.62607,43.73869
30,Casa Loma,416-923-1171,https://casaloma.ca/,1 Austin Ter,M5R 1X8,former Toronto,Toronto,-79.40944,43.67803
32,Centennial Park,416-394-8750,https://www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,256 Centennial Park Rd,M9C 5N3,Etobicoke,Toronto,-79.59015,43.65484
33,Centennial Park Conservatory,416-394-8543,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/centennial-park-conservatory/,151 Elmcrest Rd,M9C 3S1,Etobicoke,Toronto,-79.58837,43.64938
34,Centre Island Beach,416-392-2489,http://app.toronto.ca/tpha/beach/5.html,1 Avenue Of The Islands,,former Toronto,Toronto,-79.37428,43.61568
35,Centreville Amusement Park,416-203-0405 ,http://www.centreisland.ca/,21 Avenue Of The Islands,,former Toronto,Toronto,-79.37354,43.62029
36,CF Fairview Mall,416-491-0151,https://www.cfshops.com/fairview-mall.html,1800 Sheppard Ave E,M2J 5A7,North York,Toronto,-79.34471,43.77793
37,CF Sherway Gardens,416-621-1070,https://www.cfshops.com/sherway-gardens.html,25 The West Mall,M9C 1B8,Etobicoke,Toronto,-79.55711,43.61187
38,CF Toronto Eaton Centre,416-598-8560,https://www.cfshops.com/toronto-eaton-centre.html,220 Yonge St,M5B 2H1,former Toronto,Toronto,-79.38072,43.65438
39,Cherry Beach/ Clarke Beach Park,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html,1 Cherry St,M5A 0B7,former Toronto,Toronto,-79.34409,43.63685
40,Chinese Cultural Centre of Greater Toronto,416-292-9293,https://www.cccgt.org/,5183 Sheppard Ave E,M1B 5Z5,Scarborough,Toronto,-79.234,43.79446
41,CN Tower,416-868-6937,http://www.cntower.ca/,290 Bremner Blvd,M5V 3L9,former Toronto,Toronto,-79.38707,43.64256
43,Colborne Lodge,416-392-6916,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/colborne-lodge/,11 Colborne Lodge Dr,M6S 5A3,former Toronto,Toronto,-79.45998,43.6404
45,Design Exchange,416-933-2919,https://designexchangetoronto.com/,234 Bay St,M5K 1B2,former Toronto,Toronto,-79.38032,43.64769
46,Downsview Park,416-634-2559,https://en.downsviewpark.ca/home,70 Canuck Ave,M3K 2C5,North York,Toronto,-79.48417,43.74388
49,Evergreen Brick Works,416-596-7670,http://www.evergreen.ca/get-involved/evergreen-brick-works/,550 Bayview Ave,M4W 3X8,East York,Toronto,-79.36473,43.68432
53,Fort York National Historic Site,416-392-6907,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/fort-york-national-historic-site/,250 Fort York Blvd,M5V 3K9,former Toronto,Toronto,-79.40417,43.63924
55,Franklin Children's Garden,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/1806/index.html,30 Centre Island Pk,M5J 2E9,former Toronto,Toronto,-79.37627,43.61615
56,Gardiner Museum,416-586-8080,https://www.gardinermuseum.on.ca/,111 Queen's Park,M5S 2C7,former Toronto,Toronto,-79.39315,43.66808
58,Gibraltar Point Beach,416-392-2489,http://app.toronto.ca/tpha/beach/4.html,443 Lakeshore Ave,M5J 2W2,former Toronto,Toronto,-79.38407,43.61291
59,Gibson House Museum,416-395-7432,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/gibson-house-museum/,5172 Yonge St,M2N 5P6,North York,Toronto,-79.4149,43.76962
61,Gooderham Flatiron Building,416-392-1975,https://www.historicplaces.ca/en/rep-reg/place-lieu.aspx?id=8311,49 Wellington St E,M5E 1C9,former Toronto,Toronto,-79.37417,43.64844
62,Graffiti Alley,416-392-2489,https://artwalk.tdwbia.ca/businesses/graffiti-alley-toronto,513 Queen St W,M5V 2B4,former Toronto,Toronto,-79.39847,43.64792
63,Guild Park and Gardens (formely known as Guildwood Park),416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/406/index.html,201 Guildwood Pkwy,M1E 1P5,Scarborough,Toronto,-79.19249,43.74809
64,Hanlan's Point Beach,416-392-8196,https://www.toronto.ca/data/parks/prd/facilities/complex/2541/index.html,695 Lakeshore Ave,M5J 2W2,former Toronto,Toronto,-79.39409,43.61986
65,Harbour Square Park,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=74&title=Harbour-Square-Park,25 Queens Quay W,M5J 2T5,former Toronto,Toronto,-79.37665,43.64019
68,High Park,416-338-0338,http://www.highparktoronto.com/,1873 Bloor St W,M6R 2Z3,former Toronto,Toronto,-79.46378,43.64646
69,Historic Zion Schoolhouse,416-395-7435,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/zion-schoolhouse/,1091 Finch Ave E,M2J 2X3,North York,Toronto,-79.3634,43.79037
70,Hockey Hall of Fame,416-360-7765,https://www.hhof.com/,30 Yonge St,M5E 1X8,former Toronto,Toronto,-79.37768,43.64726
71,HTO Park,416-392-8188,https://www.toronto.ca/data/parks/prd/facilities/complex/1663/index.html,339 Queens Quay W,M5V 1A2,former Toronto,Toronto,-79.38817,43.63779
72,Hudson's Bay,416-861-9111,https://www.thebay.com/,176 Yonge St,M5C 2L7,former Toronto,Toronto,-79.37988,43.65197
73,Humber Arboretum,416-675-3111,https://humber.ca/arboretum/,205 Humber College Blvd,M9W 5L7,Etobicoke,Toronto,-79.60749,43.72481
74,Humber Bay Park West (Humber Bay Butterfly Habitat),416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/1074/index.html,100 Humber Bay Park Rd W,M8V 3X7,Etobicoke,Toronto,-79.47727,43.62416
75,iArts Museum,416-504-2787,https://www.iartsmuseum.ca/,580 King St W,M5V 1M1,former Toronto,Toronto,-79.39944,43.64489
76,Illuminarium Toronto,647-368-6070,https://www.illuminarium.com/toronto,28 Gristmill Ln,M5A 4R2,former Toronto,Toronto,-79.36061,43.64993
79,James Garden Park,416-392-8188,https://www.toronto.ca/data/parks/prd/facilities/complex/3/index.html,99 Edenbridge Dr,M9A 4N1,Etobicoke,Toronto,-79.51546,43.67111
80,Kew Gardens Park,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=107,2075 Queen St E,M4L 1J1,former Toronto,Toronto,-79.29849,43.66816
82,Little Canada,647-578-4663,https://little-canada.ca/,10 Dundas St E,M5B 2G9,former Toronto,Toronto,-79.38084,43.65669
83,Mackenzie House,416-392-6915,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/mackenzie-house/,82 Bond St,M5B 1X2,former Toronto,Toronto,-79.37841,43.65567
84,Marie Curtis Park East Beach,416-392-2489,http://app.toronto.ca/tpha/beach/1.html,2 Forty Second St,L3P 7K7,Etobicoke,Toronto,-79.54054,43.58572
88,Mel Lastman Square,416-395-7584,https://mlsquare.ca/,5100 Yonge St,M2N 5V7,North York,Toronto,-79.41416,43.76752
92,Montgomery's Inn,416-394-8113,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/montgomerys-inn/,4709 Dundas St W,M9A 1A8,Etobicoke,Toronto,-79.5257,43.65171
94,Museum of Illusions Toronto,416-889-2285,https://museumofillusions.ca/,132 Front St E,M5A 1E2,former Toronto,Toronto,-79.36963,43.65011
97,Old City Hall,416-338-0338,https://www.toronto.ca/311/knowledgebase/kb/docs/articles/Corporate-Real-Estate-Management/facilities-management/old-city-hall-toronto-courthouse.html,60 Queen St W,M5H 2M3,former Toronto,Toronto,-79.38171,43.65251
99,Osgoode Hall,416-947-3300,https://www.osgoode.yorku.ca/,130 Queen St W,M5H 2N6,former Toronto,Toronto,-79.38578,43.65202
100,Polson Pier,None,https://g.co/kgs/rY8Pkrh,11 Polson St,M5A 1A4,former Toronto,Toronto,-79.35559,43.64102
103,Queen's Park: Legislative Assembly of Ontario,416-325-7500,https://www.ola.org/en/visit-learn/parliament-government/explore-queens-park,1 Queen's Park,M7A 1A2,former Toronto,Toronto,-79.39159,43.66223
105,Redpath Sugar Museum,416-366-3561,https://www.redpathsugar.com/,95 Queens Quay E,M5E 1A3,former Toronto,Toronto,-79.37124,43.64291
106,Ripley's Aquarium of Canada,647-351-3474,https://www.ripleyaquariums.com/canada/,288 Bremner Blvd,M5V 3L9,former Toronto,Toronto,-79.38661,43.64217
107,Riverdale Farm,416-392-6794,http://riverdalefarmtoronto.ca/,201 Winchester St,M4X 1B8,former Toronto,Toronto,-79.36173,43.66697
108,Riverdale Park (East and West),416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/343/index.html,550 Broadview Ave,M4K 2N6,former Toronto,Toronto,-79.35637,43.6684
110,Rosetta McClain Gardens,416-396-7378,www.toronto.ca/data/parks/prd/facilities/complex/19/index.html,5 Glen Everest Rd,M1N 1J2,Scarborough,Toronto,-79.25576,43.69682
111,Rouge Beach Park,416-264-2020,https://www.toronto.ca/data/parks/prd/facilities/complex/340/index.html,195 Rouge Hills Dr,M1C 2Y9,Scarborough,Toronto,-79.11853,43.79314
112,Rouge National Urban Park,416-264-2020,https://www.pc.gc.ca/en/pn-np/on/rouge,25 Zoo Rd,M1B 5W8,Scarborough,Toronto,-79.17277,43.81793
113,Rouge Valley Conservation Centre,416-282-8265,https://www.rvcc.ca/Rouge_Valley_Conservation_Centre.html,1749 Meadowvale Rd,M1B 5W8,former Toronto,Toronto,-79.17101,43.81904
117,Royal Ontario Museum,416-586-8000,https://www.rom.on.ca/en,100 Queen's Park,M5S 2C6,former Toronto,Toronto,-79.39479,43.66771
118,Sankofa Square (formerly known as Yonge-Dundas Square),416-979-9960,https://www.sankofasquare.ca/,1 Dundas St E,M5B 2L6,former Toronto,Toronto,-79.38043,43.65593
119,Sarah and Chaim Neuberger Holocaust Education Centre,416-631-5689,https://www.holocaustcentre.com/,4588 Bathurst St,M2R 1W6,North York,Toronto,-79.44186,43.76411
120,Scarborough Museum,416-338-8807,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/scarborough-museum/,1007 Brimley Rd,M1P 3E8,Scarborough,Toronto,-79.25482,43.75761
124,Spadina Museum,416-392-6910,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/spadina-museum/,285 Spadina Rd,M5R 2V5,former Toronto,Toronto,-79.40818,43.67898
125,St. James Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/408/index.html,120 King St E,M5C 1G6,former Toronto,Toronto,-79.37306,43.65083
127,St. Lawrence Market and Market Gallery,416-392-7220,http://www.stlawrencemarket.com/,93 Front St E,M5E 1C3,former Toronto,Toronto,-79.37156,43.6487
128,Steam Whistle Brewery,416-362-2337,https://steamwhistle.ca/,255 Bremner Blvd,M5V 3M9,former Toronto,Toronto,-79.3857,43.64067
129,Sugar Beach Park,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/2261/index.html,11 Dockside Dr,M5A 0B6,former Toronto,Toronto,-79.36743,43.6429
130,Sunnyside Beach,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/394/index.html,1755 Lake Shore Blvd W,M6S 5A3,former Toronto,Toronto,-79.45703,43.63738
131,Taras H. Shevchenko Museum,416-534-8662,https://www.shevchenko.ca/,1604 Bloor St W,M6P 1A7,former Toronto,Toronto,-79.45524,43.65599
133,Textile Museum of Canada,416-599-5321,https://textilemuseum.ca/,55 Centre Ave,M5G 2H5,former Toronto,Toronto,-79.38674,43.65447
134,The 48th Highlanders Museum,416-596-1382,https://museum.48thhighlanders.ca/,73 Simcoe St,M5J 1W9,former Toronto,Toronto,-79.38571,43.64735
136,The Distillery Historic District,647-693-4646,https://www.thedistillerydistrict.com/,55 Mill St,M5A 3C4,former Toronto,Toronto,-79.35915,43.65024
138,The Japan Foundation,416-966-1600,https://tr.jpf.go.jp/,2 Bloor St E,M4W 1A8,former Toronto,Toronto,-79.38651,43.6708
143,The Well,416-203-7777,https://thewelltoronto.com/,486 Front St W,M5V 0V2,former Toronto,Toronto,-79.39579,43.64279
146,TIFF Bell Lightbox,416-599-2033,https://www.tiff.net/,350 King St W,M5V 3X5,former Toronto,Toronto,-79.3905,43.64654
147,Todmorden Mills Heritage Site,416-396-2819,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/todmorden-mills/,67 Pottery Rd,M4K 2B9,East York,Toronto,-79.36024,43.68647
148,Tommy Thompson Park,416-661-6600,https://tommythompsonpark.ca/,1 Leslie St,M4M 3M2,former Toronto,Toronto,-79.32487,43.63519
149,Toronto Botanical Gardens and Edwards Gardens,416-397-1341,https://torontobotanicalgarden.ca/,777 Lawrence Ave E,M3C 1P2,North York,Toronto,-79.35817,43.73415
150,Toronto City Hall and Nathan Phillips Square,416-392-2489,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-city-facilities/city-hall/,100 Queen St W,M5H 2N1,former Toronto,Toronto,-79.38369,43.65303
152,Toronto Island Park,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/,1 Centre Island Pk,,former Toronto,Toronto,-79.37469,43.62256
154,Toronto Music Garden,416-973-4000,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1707&title=Toronto-Music-Garden,479 Queens Quay W,M5V 3M8,former Toronto,Toronto,-79.3943,43.63694
156,Toronto Police Museum & Discovery Centre,416-808-7020,https://www.tps.ca/museum/,40 College St,M5G 2J3,former Toronto,Toronto,-79.38482,43.66122
157,Toronto Railway Museum,416- 214-9229,https://torontorailwaymuseum.com/,255 Bremner Blvd,M5V 3M9,former Toronto,Toronto,-79.38595,43.64071
158,Toronto Reference Library,416-395-5577,https://www.torontopubliclibrary.ca/torontoreferencelibrary/,789 Yonge St,M4W 2G8,former Toronto,Toronto,-79.38682,43.67179
161,Toronto Zoo,416-392-5900,https://www.torontozoo.com/,2000 Meadowvale Rd,M1B 5W8,Scarborough,Toronto,-79.18229,43.82034
162,Toronto's First Post Office,416-865-1833,http://www.townofyork.com/,260 Adelaide St E,M5A 1N1,former Toronto,Toronto,-79.3704,43.6519
164,Trinity Square,416-392-2489,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=238,19 Trinity Sq,M5G 1B1,former Toronto,Toronto,-79.38162,43.6547
165,Ukrainian Museum of Canada,416-923-9861,http://umcontario.com/,620 Spadina Ave,M5S 2H4,former Toronto,Toronto,-79.4021,43.66198
168,Village at Black Creek (Black Creek Pioneer Village),416-736-1733,https://blackcreek.ca/,1000 Murray Ross Pkwy,M3J 2P3,North York,Toronto,-79.51507,43.7726
169,Village of Yorkville Park,416-338-4386,https://www.bloor-yorkville.com/village-yorkville-park-green-space-gem/,115 Cumberland St,M5R 1A6,former Toronto,Toronto,-79.39168,43.67002
170,Ward's Island Beach,416-396-7378,http://app.toronto.ca/tpha/beach/6.html,40 Lakeshore Ave,M5J 1X8,former Toronto,Toronto,-79.35224,43.63002
172,Woodbine Beach,416-396-7378,https://www.toronto.ca/data/parks/prd/facilities/complex/311/index.html,1675 Lake Shore Blvd E,M4L 3W6,former Toronto,Toronto,-79.30709,43.66181
173,Woodbine Racetracks,416-675-7223,https://woodbine.com/,555 Rexdale Blvd,M9W 7G3,Etobicoke,Toronto,-79.60412,43.71446
174,Woodbine Shopping Centre and Fantasy Fair,437-880-8448,http://www.fantasyfair.ca/,500 Rexdale Blvd,M9W 6K5,Etobicoke,Toronto,-79.60003,43.72067
175,Yorkdale Shopping Centre,416-789-3261,https://yorkdale.com/,3401 Dufferin St,M6A 2T9,North York,Toronto,-79.45217,43.72543
